facility_name,provider_id,provider_name,years_experience,specialty,encounter_count
Cardiology Specialty Center,PR0279,Jamie Jones,11,Oncology,21
Cardiology Specialty Center,PR0106,Avery Jones,7,Neurology,20
City General Hospital,PR0279,Jamie Jones,11,Oncology,21
City General Hospital,PR0106,Avery Jones,7,Neurology,20
Community Health Clinic,PR0279,Jamie Jones,11,Oncology,21
Community Health Clinic,PR0106,Avery Jones,7,Neurology,20
Emergency Medical Center,PR0279,Jamie Jones,11,Oncology,21
Emergency Medical Center,PR0106,Avery Jones,7,Neurology,20
Northside Urgent Care,PR0279,Jamie Jones,11,Oncology,21
Northside Urgent Care,PR0106,Avery Jones,7,Neurology,20
Oncology Treatment Center,PR0279,Jamie Jones,11,Oncology,21
Oncology Treatment Center,PR0106,Avery Jones,7,Neurology,20
Pediatric Care Center,PR0279,Jamie Jones,11,Oncology,21
Pediatric Care Center,PR0106,Avery Jones,7,Neurology,20
Primary Care Clinic,PR0279,Jamie Jones,11,Oncology,21
Primary Care Clinic,PR0106,Avery Jones,7,Neurology,20
Regional Medical Center,PR0279,Jamie Jones,11,Oncology,21
Regional Medical Center,PR0106,Avery Jones,7,Neurology,20
Surgical Specialty Center,PR0279,Jamie Jones,11,Oncology,21
Surgical Specialty Center,PR0106,Avery Jones,7,Neurology,20
